street_address,zip,row,cleaned_address,is_intersection,stnum1,stnum2,stdir,stname,sttype,full_address,lat,long,matched_address,geocoder,m_is_intersection,m_street,m_stnum1,m_stnum2,m_stdir,m_stname,m_sttype,m_zip
1335 N SANDBURG TER,60610,44451,1335 N SANDBURG TER,FALSE,1335,1335,N,SANDBURG,TER,"1335 N SANDBURG TER, CHICAGO IL 60610",41.9067614,-87.6318803,"1335 N SANDBURG TERRACE, CHICAGO, IL, 60610",Bing,FALSE,1335 N SANDBURG TERRACE,1335,1335,N,SANDBURG TERRACE,,60610
51 E CARVER PLZ,60653,68318,51 E CARVER PLZ,FALSE,51,51,E,CARVER,PLZ,"51 E CARVER PLZ, CHICAGO IL 60653",41.826997,-87.624311,"51 E CARVER PLAZA, CHICAGO, IL, 60653",Bing,FALSE,51 E CARVER PLAZA,51,51,E,CARVER PLAZA,,60653
59 E CARVER PLZ,60653,68319,59 E CARVER PLZ,FALSE,59,59,E,CARVER,PLZ,"59 E CARVER PLZ, CHICAGO IL 60653",41.826997,-87.624263,"59 E CARVER PLAZA, CHICAGO, IL, 60653",Bing,FALSE,59 E CARVER PLAZA,59,59,E,CARVER PLAZA,,60653
67 E CARVER PLZ,60653,68320,67 E CARVER PLZ,FALSE,67,67,E,CARVER,PLZ,"67 E CARVER PLZ, CHICAGO IL 60653",41.826996,-87.624214,"67 E CARVER PLAZA, CHICAGO, IL, 60653",Bing,FALSE,67 E CARVER PLAZA,67,67,E,CARVER PLAZA,,60653
69 E CARVER PLZ,60653,68321,69 E CARVER PLZ,FALSE,69,69,E,CARVER,PLZ,"69 E CARVER PLZ, CHICAGO IL 60653",41.826996,-87.624202,"69 E CARVER PLAZA, CHICAGO, IL, 60653",Bing,FALSE,69 E CARVER PLAZA,69,69,E,CARVER PLAZA,,60653
75 E CARVER PLZ,60653,68322,75 E CARVER PLZ,FALSE,75,75,E,CARVER,PLZ,"75 E CARVER PLZ, CHICAGO IL 60653",41.826996,-87.624165,"75 E CARVER PLAZA, CHICAGO, IL, 60653",Bing,FALSE,75 E CARVER PLAZA,75,75,E,CARVER PLAZA,,60653
107 E CARVER PLZ,60653,68323,107 E CARVER PLZ,FALSE,107,107,E,CARVER,PLZ,"107 E CARVER PLZ, CHICAGO IL 60653",41.826994,-87.62397,"107 E CARVER PLAZA, CHICAGO, IL, 60653",Bing,FALSE,107 E CARVER PLAZA,107,107,E,CARVER PLAZA,,60653
109 E CARVER PLZ,60653,68324,109 E CARVER PLZ,FALSE,109,109,E,CARVER,PLZ,"109 E CARVER PLZ, CHICAGO IL 60653",41.826993,-87.623957,"109 E CARVER PLAZA, CHICAGO, IL, 60653",Bing,FALSE,109 E CARVER PLAZA,109,109,E,CARVER PLAZA,,60653
113 E CARVER PLZ,60653,68325,113 E CARVER PLZ,FALSE,113,113,E,CARVER,PLZ,"113 E CARVER PLZ, CHICAGO IL 60653",41.826993,-87.623933,"113 E CARVER PLAZA, CHICAGO, IL, 60653",Bing,FALSE,113 E CARVER PLAZA,113,113,E,CARVER PLAZA,,60653
1256 W WESTGATE TER,60607,68784,1256 W WESTGATE TER,FALSE,1256,1256,W,WESTGATE,TER,"1256 W WESTGATE TER, CHICAGO IL 60607",41.8740187,-87.6589289,"1256 W WESTGATE TERRACE, CHICAGO, IL, 60607",Bing,FALSE,1256 W WESTGATE TERRACE,1256,1256,W,WESTGATE TERRACE,,60607
1268 W WESTGATE TER,60607,68785,1268 W WESTGATE TER,FALSE,1268,1268,W,WESTGATE,TER,"1268 W WESTGATE TER, CHICAGO IL 60607",41.873822,-87.659523,"1268 W WESTGATE TERRACE, CHICAGO, IL, 60607",Bing,FALSE,1268 W WESTGATE TERRACE,1268,1268,W,WESTGATE TERRACE,,60607
1277 W WESTGATE TER,60607,68786,1277 W WESTGATE TER,FALSE,1277,1277,W,WESTGATE,TER,"1277 W WESTGATE TER, CHICAGO IL 60607",41.8733821,-87.6592927,"1277 W WESTGATE TERRACE, CHICAGO, IL, 60607",Bing,FALSE,1277 W WESTGATE TERRACE,1277,1277,W,WESTGATE TERRACE,,60607
1246 W WESTGATE TER,60607,68787,1246 W WESTGATE TER,FALSE,1246,1246,W,WESTGATE,TER,"1246 W WESTGATE TER, CHICAGO IL 60607",41.8739321,-87.6585715,"1246 W WESTGATE TERRACE, CHICAGO, IL, 60607",Bing,FALSE,1246 W WESTGATE TERRACE,1246,1246,W,WESTGATE TERRACE,,60607
1308 W WESTGATE TER,60607,68788,1308 W WESTGATE TER,FALSE,1308,1308,W,WESTGATE,TER,"1308 W WESTGATE TER, CHICAGO IL 60607",41.8740076,-87.6598485,"1308 W WESTGATE TERRACE, CHICAGO, IL, 60607",Bing,FALSE,1308 W WESTGATE TERRACE,1308,1308,W,WESTGATE TERRACE,,60607
1251-65 W WESTGATE TER,60607,111243,1251-65 W WESTGATE TER,FALSE,1251,1265,W,WESTGATE,TER,"1251-65 W WESTGATE TER, CHICAGO IL 60607",41.8734741,-87.6589965,"1251 W WESTGATE TERRACE, CHICAGO, IL, 60607",Bing,FALSE,1251 W WESTGATE TERRACE,1251,1251,W,WESTGATE TERRACE,,60607
